f1	f2
93.672	93.784
93.676	93.784
93.676	93.792
93.672	93.792
93.664	93.780
93.666	93.780
93.670	93.780
93.670	93.784
93.674	93.784
93.672	93.790
93.686	93.790
93.684	93.790
93.684	93.790
93.688	93.802
93.720	93.824
93.714	93.832
93.728	93.832
93.726	93.850
93.724	93.850
93.720	93.850
93.734	93.838
93.740	93.838
93.784	93.898
93.772	93.892
93.764	93.892
93.768	93.892
93.762	93.892
93.758	93.892
93.758	93.892
93.772	93.892
93.764	93.900
93.774	93.874
93.782	93.874
93.790	93.900
93.782	93.900
93.792	93.900
93.804	93.932
93.812	93.922
93.810	93.922
93.778	93.898
93.770	93.898
93.778	93.884
93.780	93.892
93.768	93.880
93.760	93.880
93.760	93.870
93.764	93.870
93.762	93.870
93.766	93.870
93.776	93.870
93.774	93.884
93.778	93.884
93.778	93.884
93.778	93.882
93.776	93.882
93.774	93.882
93.772	93.882
93.768	93.882
93.778	93.882
93.792	93.882
93.796	93.890
93.786	93.898
93.776	93.898
93.778	93.898
93.786	93.890
93.784	93.890
93.780	93.890
93.782	93.888
93.784	93.888
93.786	93.890
93.790	93.890
93.786	93.890
93.788	93.886
93.770	93.874
93.762	93.872
93.760	93.860
93.750	93.852
93.746	93.852
93.740	93.852
93.744	93.852
93.746	93.852
93.718	93.842
93.726	93.832
93.720	93.832
93.726	93.828
93.742	93.842
93.748	93.842
93.730	93.832
93.724	93.824
93.728	93.826
93.712	93.826
93.704	93.800
93.696	93.800
93.700	93.800
93.710	93.808
93.700	93.808
93.704	93.808
93.716	93.808
93.702	93.808
93.700	93.806
93.700	93.806
93.710	93.806
93.706	93.806
93.710	93.806
93.710	93.810
93.708	93.818
93.706	93.818
93.702	93.818
93.700	93.818
93.698	93.818
93.700	93.812
93.702	93.812
93.704	93.812
93.704	93.820
93.714	93.820
93.728	93.830
93.728	93.830
93.720	93.824
93.722	93.824
93.730	93.824
93.734	93.854
93.726	93.840
93.726	93.848
93.728	93.848
93.720	93.848
93.704	93.848
93.702	93.848
93.704	93.848
93.710	93.848
93.710	93.848
93.724	93.848
93.734	93.844
93.724	93.844
93.720	93.836
93.730	93.834
93.730	93.834
93.734	93.834
93.738	93.834
93.734	93.854
93.736	93.854
93.738	93.854
93.730	93.854
93.724	93.854
93.720	93.854
93.716	93.834
93.718	93.834
93.724	93.834
93.728	93.832
93.722	93.832
93.728	93.832
93.724	93.832
93.728	93.832
93.728	93.832
93.726	93.832
93.724	93.832
93.724	93.832
93.724	93.832
93.722	93.832
93.720	93.832
93.720	93.832
93.718	93.832
93.720	93.832
93.724	93.832
93.726	93.832
93.730	93.840
93.732	93.840
93.732	93.840
93.740	93.840
93.740	93.840
93.732	93.840
93.730	93.840
93.734	93.836
93.734	93.842
93.734	93.842
93.730	93.842
93.728	93.838
93.726	93.838
93.734	93.840
93.734	93.840
93.738	93.840
93.756	93.840
93.750	93.840
93.752	93.840
93.752	93.840
93.758	93.840
93.770	93.864
93.772	93.868
93.780	93.886
93.780	93.890
93.782	93.890
93.770	93.894
93.774	93.894
93.770	93.890
93.756	93.880
93.752	93.880
93.764	93.880
93.764	93.880
93.766	93.880
93.766	93.880
93.764	93.872
93.762	93.872
93.762	93.872
93.772	93.872
93.772	93.888
93.776	93.888
93.772	93.888
93.786	93.886
93.788	93.900
93.768	93.898
93.770	93.878
93.780	93.878
93.764	93.878
